Position,"Track Name",Artist,Streams,URL
56,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1341886,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
57,Dynamite,BTS,1339947,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
58,Dandelions,"Ruth B.",1327848,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
59,"Entre Nosotros (Remix) [con Nicki Nicole]","Tiago PZK",1315167,https://open.spotify.com/track/4TGwERXRlyQtBdggYTHo6j
60,Volví,Aventura,1278311,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
61,"Tacones Rojos","Sebastian Yatra",1261204,https://open.spotify.com/track/0Be7sopyKMv8Y8npsUkax2
62,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",1251645,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
63,"Watermelon Sugar","Harry Styles",1247125,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
64,"Todo De Ti","Rauw Alejandro",1242207,https://open.spotify.com/track/3rdAz1fbUfZxYgaCviYhRo
65,"I AM WOMAN","Emmy Meli",1225538,https://open.spotify.com/track/3nOz1U41SZZ0N3fuUWr9nb
66,"I Hate U",SZA,1222957,https://open.spotify.com/track/5dXWFMwD7I7zXsInONVl0H
67,"Save Your Tears","The Weeknd",1217311,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
68,"Dark Red","Steve Lacy",1213519,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
69,"Tiago PZK: Bzrp Music Sessions, Vol. 48",Bizarrap,1203267,https://open.spotify.com/track/2Gq636OOGgxCTqEuzCZhsa
70,Butter,BTS,1187994,https://open.spotify.com/track/1mWdTewIgB3gtBM3TOSFhB
71,DÁKITI,"Bad Bunny",1187001,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
72,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,1175345,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
73,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1172439,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
74,"Meet Me At Our Spot","THE ANXIETY",1163347,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
75,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1149567,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
76,Nostálgico,Rvssian,1144565,https://open.spotify.com/track/2BEcap3xJtmiPaHKyfQi4e
77,"Smokin Out The Window","Bruno Mars",1122290,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
78,"deja vu","Olivia Rodrigo",1114872,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
79,"Someone You Loved","Lewis Capaldi",1110895,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
80,Excuses,"AP Dhillon",1100811,https://open.spotify.com/track/29m79w9xPMH4YCD6r8JSmV
81,"You Right","Doja Cat",1097403,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
82,"The Family Madrigal","Stephanie Beatriz",1078775,https://open.spotify.com/track/4b1yxSdlumA8N4fEk4UOZp
83,"Without Me",Eminem,1078624,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
84,"SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)",Amaarae,1073983,https://open.spotify.com/track/09gysnJpfQ3ublBmJDfcEC
85,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,1066872,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
86,"P power (feat. Drake)",Gunna,1063910,https://open.spotify.com/track/0lEjxUUlKqjqXrVlIHFduD
87,Believer,"Imagine Dragons",1062637,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
88,"Lost in the Fire (feat. The Weeknd)",Gesaffelstein,1056136,https://open.spotify.com/track/2vXKRlJBXyOcvZYTdNeckS
89,"Volando - Remix",Mora,1049772,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
90,Gasoline,"The Weeknd",1042135,https://open.spotify.com/track/3KyKxJ4P3pVCgaZwaq2rUC
91,"Don't Start Now","Dua Lipa",1038415,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
92,"Another Love","Tom Odell",1038027,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
93,"Life Goes On","Oliver Tree",1035173,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
94,"MIDDLE OF THE NIGHT","Elley Duhé",1024919,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
95,"lovely (with Khalid)","Billie Eilish",1024453,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
96,"What Else Can I Do?","Diane Guerrero",1009857,https://open.spotify.com/track/3XoYqtiWHhsk59frZupImG
97,"Less Than Zero","The Weeknd",1009245,https://open.spotify.com/track/2D4dV2KXDTszzJ3p3cFqhA
98,Freaks,"Surf Curse",1001556,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
99,"Leave The Door Open","Bruno Mars",994410,https://open.spotify.com/track/1LPSkqVhWVRUkKE03YUkpB
100,"Daddy Issues","The Neighbourhood",990232,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
101,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,986783,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
102,"Mal Feito - Ao Vivo","Hugo & Guilherme",985322,https://open.spotify.com/track/5719MEdRQcH4c3phXqX7WN
103,"Don't Be Shy",Tiësto,985300,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
104,"How Do I Make You Love Me?","The Weeknd",980577,https://open.spotify.com/track/2Ghp894n1laIf2w98VeAOJ
105,"Dos Oruguitas","Sebastian Yatra",979197,https://open.spotify.com/track/5rohUzwEoRsUvAA1Bf3DLo
106,"Mood (feat. iann dior)",24kGoldn,946907,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
107,"Every Summertime",NIKI,946489,https://open.spotify.com/track/68HocO7fx9z0MgDU0ZPHro
108,"The Real Slim Shady",Eminem,937288,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
109,"Love Grows (Where My Rosemary Goes)","Edison Lighthouse",932472,https://open.spotify.com/track/5Ts1DYOuouQLgzTaisxWYh
110,Heather,"Conan Gray",925096,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
111,Yellow,Coldplay,924005,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
112,Acapulco,"Jason Derulo",922527,https://open.spotify.com/track/3eJH2nAjvNXdmPfBkALiPZ
113,"Locked out of Heaven","Bruno Mars",908254,https://open.spotify.com/track/5g7sDjBhZ4I3gcFIpkrLuI
114,"Rolling in the Deep",Adele,905187,https://open.spotify.com/track/6IAZHEBUIGJ6NJKxxOBIEr
115,"Salimo de Noche","Tiago PZK",903147,https://open.spotify.com/track/6P096SaOzrgGxs8NWOfX7M
116,"Take My Breath","The Weeknd",895466,https://open.spotify.com/track/2vgUijXOTRMnWXDtvgMp2b
117,"LA FAMA (with The Weeknd)",ROSALÍA,892363,https://open.spotify.com/track/6dmXZ9B5HdFAyzHeTneYBK
118,Thunder,"Gabry Ponte",887809,https://open.spotify.com/track/2USlegnFJLrVLpoVfPimKB
119,Perfect,"Ed Sheeran",884363,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
120,Formula,Labrinth,881083,https://open.spotify.com/track/6EtKlIQmGPB9SX8UjDJG5s
121,"Before You Go","Lewis Capaldi",878170,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
122,happier,"Olivia Rodrigo",871355,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
123,Sky,"Playboi Carti",868884,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
124,"Counting Stars",OneRepublic,868805,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
125,"Vai Lá Em Casa Hoje","George Henrique & Rodrigo",867280,https://open.spotify.com/track/1c4htMHiolERc0YJvZNdlc
126,505,"Arctic Monkeys",863332,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
127,Sobrio,Maluma,859496,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
128,"The Business",Tiësto,857487,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
129,"No Lie","Sean Paul",857092,https://open.spotify.com/track/48QmG1dfvMuYLxMPt7KSRA
130,positions,"Ariana Grande",855422,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
131,"The Nights",Avicii,854111,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
132,"Get Into It (Yuh)","Doja Cat",852271,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
133,"Talking to the Moon","Bruno Mars",851148,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
134,Pandora,"DJ Matt D",846607,https://open.spotify.com/track/0yL7K9MzC20uBesZTPY81r
135,ELEVEN,IVE,846268,https://open.spotify.com/track/7n2FZQsaLb7ZRfRPfEeIvr
136,"'Till I Collapse",Eminem,841284,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
137,"Down Under (feat. Colin Hay)",Luude,840176,https://open.spotify.com/track/7AVyve7cFYTd51ha5i9kE2
138,"Smells Like Teen Spirit - Remastered",Nirvana,839758,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
139,Circles,"Post Malone",837956,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
140,"Praise God","Kanye West",836415,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
141,"Shape of You","Ed Sheeran",836194,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
142,"Way 2 Sexy (with Future & Young Thug)",Drake,835725,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
143,"you broke me first","Tate McRae",835545,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
144,"Dance Monkey","Tones And I",833262,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
145,"I WANNA BE YOUR SLAVE",Måneskin,830475,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
146,"Take Me To Church",Hozier,830109,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
147,"Ley Seca","Jhay Cortez",828956,https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n
148,"favorite crime","Olivia Rodrigo",828376,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
149,"Why'd You Only Call Me When You're High?","Arctic Monkeys",826475,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
150,Cúrame,"Rauw Alejandro",824339,https://open.spotify.com/track/1FlL8ycld6uVDDyhV7P5FA
151,"Say You Won't Let Go","James Arthur",824193,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
152,"Lucid Dreams","Juice WRLD",823273,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
153,"family ties (with Kendrick Lamar)","Baby Keem",822167,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
154,L’enfer,Stromae,820272,https://open.spotify.com/track/7bp3zmEvpHLa0h32nhDUkB
155,"Se Le Ve","Dímelo Flow",820087,https://open.spotify.com/track/5W1qmxHrMlQGGAiFA3ZQqP
156,Peru,"Fireboy DML",817519,https://open.spotify.com/track/4hJhHbkhZFnxmWbAkZRoe0
157,"The Feels",TWICE,816364,https://open.spotify.com/track/1qE8DOtw7zdXHMgZm20eLM
158,"Die For You","The Weeknd",814981,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
159,"All of Me","John Legend",812184,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
160,"Mr. Brightside","The Killers",811889,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
161,"Enemy - From the series Arcane League of Legends","Imagine Dragons",810188,https://open.spotify.com/track/5UlnuulVAVmmesw4VzqHdG
162,Falling,"Harry Styles",807662,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
163,Bored,"Billie Eilish",806206,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
164,Arcade,"Duncan Laurence",805241,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
165,2055,"Sleepy Hallow",804597,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
166,"Bloqueado - Ao Vivo","Gusttavo Lima",804344,https://open.spotify.com/track/6nkoWsFZeFt5dUdNmlIceh
167,"WA DA DA",Kep1er,802494,https://open.spotify.com/track/0hQNbQKW2dDATH1ngj4TI6
168,Shallow,"Lady Gaga",801521,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
169,"Blank Space","Taylor Swift",799472,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
170,"AM Remix","Nio Garcia",798877,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
171,"DANCE CRIP",Trueno,795039,https://open.spotify.com/track/1kjs5eR4DMzyB0gm1Z8waV
172,Streets,"Doja Cat",793135,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
173,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",792133,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
174,"Space Song","Beach House",791151,https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow
175,"Astronaut In The Ocean","Masked Wolf",790144,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC
176,"Best Friends","The Weeknd",789832,https://open.spotify.com/track/1E5Xu8dur0fAjSP1VpVhAZ
177,Riptide,"Vance Joy",787735,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
178,"Gangsta's Paradise",Coolio,786000,https://open.spotify.com/track/1DIXPcTDzTj8ZMHt3PDt8p
179,"All For Us - from the HBO Original Series Euphoria",Labrinth,785376,https://open.spotify.com/track/10hMM5nsZQf66ldBlgWBfG
180,Problemón,"Alvaro Diaz",784952,https://open.spotify.com/track/1mSviQV9iQnGSRyvTIuxAj
181,Enchanted,"Taylor Swift",784881,https://open.spotify.com/track/04S1pkp1VaIqjg8zZqknR5
182,Memories,"Maroon 5",784065,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI
183,"When I’m Gone (with Katy Perry)",Alesso,782345,https://open.spotify.com/track/5902W4uHWzhtOff1UK7the
184,"No Role Modelz","J. Cole",781454,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
185,"Heartbreak Anniversary",Giveon,780838,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
186,Payphone,"Maroon 5",778971,https://open.spotify.com/track/1XGmzt0PVuFgQYYnV2It7A
187,"Esqueça-Me Se For Capaz","Marília Mendonça",777965,https://open.spotify.com/track/4qsOrxBv09HhNSpsgMRXdC
188,"Happier Than Ever - Edit","Billie Eilish",777225,https://open.spotify.com/track/32BeYxKPrig1LefHsC0Xuo
189,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,774381,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
190,212,"Chefin Oficial",773340,https://open.spotify.com/track/3QGxgNaqaFSpORp2OVLXHR
191,"Here We Go… Again (feat. Tyler, the Creator)","The Weeknd",772947,https://open.spotify.com/track/1NhjYYcYTRywc0di98xHxf
192,"Qué Más Pues?","J Balvin",772235,https://open.spotify.com/track/6D2TCm4nf5nxAcdGJ7w3QP
193,"Ella - Remix",Boza,767529,https://open.spotify.com/track/7iHHlCbsFou5DZSW5HCPfs
194,"Fair Trade (with Travis Scott)",Drake,766099,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
195,Señorita,"Shawn Mendes",765975,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
196,"Christmas Tree",V,765406,https://open.spotify.com/track/186NCtNk1tUYS7c2DxgJ7O
197,"Adore You","Harry Styles",764023,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
198,"The Hills","The Weeknd",763962,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
199,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,763197,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
200,"Do I Wanna Know?","Arctic Monkeys",762281,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
