Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2020,City,San Diego,Police,Police Officer 1,False,False,,63128,76170,,30380,0,0,5986,36366,203,0,3029,0,3232,2.5@50;2.6@51;2.7@52;2.8@53;2.9@54;3@55,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,Police,Clerical Asst 2,False,False,,31928,38480,,38480,0,0,-2118,36362,2365,0,2450,12757,17572,2.5% @ 55,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,Transportation,Utility Worker 1,False,False,,32573,38730,,30918,11,0,5432,36361,0,0,2846,5527,8373,N/A,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,Development Services,Jr Planner,False,False,,51376,61984,,36493,345,171,-655,36354,0,0,3305,9184,12489,N/A,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,Police,Dispatcher 2,False,False,,41933,50627,,27891,1652,0,6768,36311,0,0,3070,4291,7361,N/A,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,Fire-Rescue,Fire Helicopter Pilot,False,False,,75733,91666,,23622,89,4511,8077,36299,0,0,3479,0,3479,N/A,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,Parks & Recreation,Asst Rec Center Dir,False,False,,32074,38771,,32273,329,0,3693,36295,0,0,3005,8115,11120,N/A,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,City Attorney,Deputy City Attorney,False,False,,171326,198878,,19113,0,15254,1924,36291,0,0,1799,869,2668,N/A,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,Parks & Recreation,Asst Rec Center Dir,False,False,,32074,38771,,33290,0,0,2986,36276,0,0,3063,8661,11724,N/A,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,Transportation,Utility Worker 1,False,False,,32573,38730,,37389,0,0,-1114,36275,0,0,3338,12305,15643,N/A,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,Environmental Services,Utility Worker 2,False,False,,35568,42328,,39662,1298,0,-4694,36266,4761,0,2261,15747,22769,2.5% @ 55,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,City Attorney,Legal Intern,False,False,,41621,50606,,35238,1322,0,-300,36260,0,0,1371,3007,4378,N/A,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,Library,Library Assistant 3,False,False,,43597,52562,,26609,4043,0,5576,36228,3038,0,1575,6978,11591,2.5% @ 55,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,Public Utilities,Cust Services Rep,False,False,,35173,42474,,31524,34,0,4668,36226,0,0,2903,4426,7329,N/A,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,Public Utilities,Haz Mat/Prt Trainee,False,False,,45490,54725,,31493,0,0,4697,36190,0,0,2897,3061,5958,N/A,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,Parks & Recreation,Grounds Maintenance Worker 2,False,False,,33883,40310,,38061,2134,1084,-5093,36186,4304,0,360,15747,20411,1.0% @ 55,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,Parks & Recreation,Custodian 2,False,False,,28018,33342,,31872,128,0,4149,36149,0,0,2944,6753,9697,N/A,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,Police,Police Officer 1,False,False,,63128,76170,,30380,0,0,5769,36149,211,0,3064,0,3275,2.5@50;2.6@51;2.7@52;2.8@53;2.9@54;3@55,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,Real Estate Assets,Management Trainee,False,False,,41330,49878,,38247,0,0,-2100,36147,0,0,3334,10318,13652,N/A,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,Library,Library Assistant 2,False,False,,34258,41454,,20432,4088,0,11626,36146,0,0,2256,18,2274,N/A,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,Parks & Recreation,Grounds Maintenance Worker 1,False,False,,30618,36275,,36066,674,0,-599,36141,3473,0,2193,12156,17822,2.5% @ 55,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
