Position,"Track Name",Artist,Streams,URL
132,"The Nights",Avicii,823875,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
133,"The Business",Tiësto,821468,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
134,"Talking to the Moon","Bruno Mars",820089,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
135,"Down Under (feat. Colin Hay)",Luude,819320,https://open.spotify.com/track/7AVyve7cFYTd51ha5i9kE2
136,505,"Arctic Monkeys",816133,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
137,Peru,"Fireboy DML",814225,https://open.spotify.com/track/4hJhHbkhZFnxmWbAkZRoe0
138,Formula,Labrinth,806623,https://open.spotify.com/track/6EtKlIQmGPB9SX8UjDJG5s
139,"I WANNA BE YOUR SLAVE",Måneskin,806026,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
140,"Shape of You","Ed Sheeran",804848,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
141,Sky,"Playboi Carti",803649,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
142,"you broke me first","Tate McRae",802834,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
143,"Lucid Dreams","Juice WRLD",802820,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
144,"Way 2 Sexy (with Future & Young Thug)",Drake,802655,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
145,"Praise God","Kanye West",801630,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
146,"DANCE CRIP",Trueno,799209,https://open.spotify.com/track/1kjs5eR4DMzyB0gm1Z8waV
147,"Take Me To Church",Hozier,797709,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
148,"favorite crime","Olivia Rodrigo",796452,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
149,Circles,"Post Malone",794682,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
150,"Bloqueado - Ao Vivo","Gusttavo Lima",793857,https://open.spotify.com/track/6nkoWsFZeFt5dUdNmlIceh
151,"Why'd You Only Call Me When You're High?","Arctic Monkeys",793610,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
152,"The Feels",TWICE,789765,https://open.spotify.com/track/1qE8DOtw7zdXHMgZm20eLM
153,"Ley Seca","Jhay Cortez",789662,https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n
154,"Enemy - From the series Arcane League of Legends","Imagine Dragons",789507,https://open.spotify.com/track/5UlnuulVAVmmesw4VzqHdG
155,Pandora,"DJ Matt D",788591,https://open.spotify.com/track/0yL7K9MzC20uBesZTPY81r
156,"Heartbreak Anniversary",Giveon,787767,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
