Score
27
20
25
8
25
24
11
24
20
18
17
21
28
26
27
15
19
25
17
25
18
25
12
16
21
15
9
9
28
15
18
16
18
14
27
23
25
16
27
16
30
21
17
26
27
22
20
28
19
28
30
26
25
13
23
21
22
12
17
29
17
26
12
28
30
26
24
28
20
22
24
29
19
20
26
25
23
17
30
28
20
22
26
22
26
19
28
20
24
29
30
21
24
26
28
20
27
24
25
27
20
12
29
18
24
29
19
16
20
23
27
23
29
30
24
30
24
21
15
20
18
12
22
26
15
22
19
18
24
28
26
20
13
23
24
23
24
22
24
28
16
7
27
16
23
14
26
15
22
14
28
27
19
30
20
18
19
22
18
19
27
23
23
22
15
28
15
28
28
21
24
12
9
11
17
13
21
24
24
20
26
11
28
22
26
25
24
10
21
30
23
26
24
23
19
17
20
26
28
22
15
20
24
7
24
16
25
11
29
26
21
21
13
26
26
23
19
26
29
22
16
28
30
30
19
19
25
10
20
23
23
20
26
30
17
23
23
25
24
20
26
20
24
29
25
6
22
20
19
27
21
25
23
18
26
23
29
21
15
10
27
19
25
22
20
30
21
23
17
27
30
26
27
13
29
27
11
23
14
21
29
