county,administered_date,total_doses,cumulative_total_doses,pfizer_doses,cumulative_pfizer_doses,moderna_doses,cumulative_moderna_doses,jj_doses,cumulative_jj_doses,partially_vaccinated,total_partially_vaccinated,fully_vaccinated,cumulative_fully_vaccinated,at_least_one_dose,cumulative_at_least_one_dose,week_of_year,weekday
San Diego,2021-09-28,10848,4520717,9327,2516469,1286,1829797,228,172644,2266,269822,3831,2204723,3502,2474545,40,Tuesday
San Diego,2021-09-29,10718,4531435,9140,2525609,1304,1831101,269,172913,2275,269537,3795,2208518,3510,2478055,40,Wednesday
San Diego,2021-09-30,10478,4541913,9059,2534668,1207,1832308,208,173121,2109,269070,3805,2212323,3338,2481393,40,Thursday
San Diego,2021-10-01,11717,4553630,9968,2544636,1461,1833769,273,173394,2178,268562,4090,2216413,3582,2484975,40,Friday
San Diego,2021-10-02,4836,4558466,4117,2548753,615,1834384,99,173493,1225,268141,2155,2218568,1734,2486709,40,Saturday
San Diego,2021-10-03,2913,4561379,2397,2551150,433,1834817,83,173576,775,268001,1282,2219850,1142,2487851,40,Sunday
San Diego,2021-10-04,10286,4571665,9196,2560346,867,1835684,216,173792,1968,267813,3345,2223195,3157,2491008,41,Monday
San Diego,2021-10-05,9269,4580934,8131,2568477,944,1836628,189,173981,1884,267708,2936,2226131,2831,2493839,41,Tuesday
San Diego,2021-10-06,9563,4590497,8489,2576966,806,1837434,263,174244,1835,267674,2957,2229088,2923,2496762,41,Wednesday
San Diego,2021-10-07,10032,4600529,8799,2585765,1000,1838434,227,174471,2019,267744,3039,2232127,3109,2499871,41,Thursday
San Diego,2021-10-08,11428,4611957,9753,2595518,1343,1839777,322,174793,2351,267698,3770,2235897,3724,2503595,41,Friday
San Diego,2021-10-09,4926,4616883,4189,2599707,631,1840408,101,174894,1260,267554,1996,2237893,1852,2505447,41,Saturday
San Diego,2021-10-10,2779,4619662,2311,2602018,393,1840801,72,174966,813,267527,1149,2239042,1122,2506569,41,Sunday
San Diego,2021-10-11,9978,4629640,8781,2610799,931,1841732,254,175220,1960,267614,3016,2242058,3103,2509672,42,Monday
San Diego,2021-10-12,8667,4638307,7605,2618404,817,1842549,233,175453,1794,267559,2868,2244926,2813,2512485,42,Tuesday
San Diego,2021-10-13,8312,4646619,7211,2625615,870,1843419,225,175678,1835,267701,2587,2247513,2729,2515214,42,Wednesday
San Diego,2021-10-14,8203,4654822,7066,2632681,875,1844294,258,175936,1868,267916,2565,2250078,2780,2517994,42,Thursday
San Diego,2021-10-15,10030,4664852,8489,2641170,1202,1845496,329,176265,2230,268242,3195,2253273,3521,2521515,42,Friday
San Diego,2021-10-16,4560,4669412,3907,2645077,554,1846050,99,176364,1214,268270,1752,2255025,1780,2523295,42,Saturday
San Diego,2021-10-17,2207,4671619,1804,2646881,323,1846373,79,176443,658,268410,815,2255840,955,2524250,42,Sunday
San Diego,2021-10-18,8942,4680561,7631,2654512,965,1847338,342,176785,1983,268683,2775,2258615,3048,2527298,43,Monday
San Diego,2021-10-19,7738,4688299,6566,2661078,950,1848288,217,177002,1718,268880,2422,2261037,2619,2529917,43,Tuesday
San Diego,2021-10-20,7182,4695481,5955,2667033,965,1849253,258,177260,1447,268718,2511,2263548,2349,2532266,43,Wednesday
San Diego,2021-10-21,7701,4703182,6356,2673389,1109,1850362,231,177491,1532,268639,2582,2266130,2503,2534769,43,Thursday
San Diego,2021-10-22,13273,4716455,7923,2681312,5017,1855379,328,177819,2090,268749,3809,2269939,3919,2538688,43,Friday
San Diego,2021-10-23,7158,4723613,3854,2685166,3119,1858498,184,178003,1379,269051,2181,2272120,2483,2541171,43,Saturday
San Diego,2021-10-24,4257,4727870,1938,2687104,2208,1860706,110,178113,738,269214,1285,2273405,1448,2542619,43,Sunday
San Diego,2021-10-25,15127,4742997,7426,2694530,7326,1868032,369,178482,2131,269629,3933,2277338,4348,2546967,44,Monday
San Diego,2021-10-26,15296,4758293,7345,2701875,7465,1875497,479,178961,2153,270097,3886,2281224,4354,2551321,44,Tuesday
San Diego,2021-10-27,15152,4773445,7232,2709107,7480,1882977,437,179398,2062,270600,3844,2285068,4347,2555668,44,Wednesday
San Diego,2021-10-28,14704,4788149,6565,2715672,7668,1890645,467,179865,1836,270748,3888,2288956,4036,2559704,44,Thursday
San Diego,2021-10-29,17497,4805646,7817,2723489,9157,1899802,523,180388,2191,270868,4673,2293629,4793,2564497,44,Friday
San Diego,2021-10-30,7923,4813569,3809,2727298,3867,1903669,244,180632,1188,271044,2212,2295841,2388,2566885,44,Saturday
San Diego,2021-10-31,4540,4818109,2032,2729330,2367,1906036,139,180771,719,271179,1373,2297214,1508,2568393,44,Sunday
San Diego,2021-11-01,16395,4834504,6850,2736180,8963,1914999,560,181331,2120,271636,4223,2301437,4680,2573073,45,Monday
San Diego,2021-11-02,16833,4851337,7161,2743341,9094,1924093,546,181877,2155,272101,4462,2305899,4927,2578000,45,Tuesday
San Diego,2021-11-03,16189,4867526,6814,2750155,8498,1932591,505,182382,2441,272907,4094,2309993,4900,2582900,45,Wednesday
San Diego,2021-11-04,16642,4884168,6879,2757034,8676,1941267,529,182911,2557,273800,4259,2314252,5152,2588052,45,Thursday
San Diego,2021-11-05,19418,4903586,7677,2764711,10371,1951638,584,183495,2846,274732,4723,2318975,5655,2593707,45,Friday
San Diego,2021-11-06,9393,4912979,3600,2768311,3981,1955619,297,183792,2649,276329,2426,2321401,4023,2597730,45,Saturday
San Diego,2021-11-07,5745,4918724,2079,2770390,2225,1957844,155,183947,1986,277732,1369,2322770,2772,2600502,45,Sunday
San Diego,2021-11-08,17149,4935873,6810,2777200,7303,1965147,511,184458,4546,280662,3872,2326642,6802,2607304,46,Monday
San Diego,2021-11-09,19409,4955282,7057,2784257,8670,1973817,522,184980,5667,284782,3979,2330621,8099,2615403,46,Tuesday
San Diego,2021-11-10,20057,4975339,6915,2791172,9038,1982855,505,185485,6031,289394,4051,2334672,8663,2624066,46,Wednesday
San Diego,2021-11-11,20066,4995405,6853,2798025,8415,1991270,493,185978,6849,294831,3740,2338412,9177,2633243,46,Thursday
San Diego,2021-11-12,21167,5016572,7170,2805195,9786,2001056,595,186573,6240,299470,4259,2342671,8898,2642141,46,Friday
San Diego,2021-11-13,11151,5027723,3928,2809123,3817,2004873,303,186876,4850,303545,2092,2344763,6167,2648308,46,Saturday
San Diego,2021-11-14,5693,5033416,2233,2811356,2052,2006925,183,187059,2382,305515,1147,2345910,3117,2651425,46,Sunday
San Diego,2021-11-15,18185,5051601,7230,2818586,7772,2014697,556,187615,5422,309544,3731,2349641,7760,2659185,47,Monday
San Diego,2021-11-16,20403,5072004,7820,2826406,9166,2023863,582,188197,5474,313598,4150,2353791,8204,2667389,47,Tuesday
San Diego,2021-11-17,21031,5093035,8320,2834726,9130,2032993,565,188762,5753,317924,4165,2357956,8491,2675880,47,Wednesday
San Diego,2021-11-18,20730,5113765,8402,2843128,8773,2041766,602,189364,5869,322479,3991,2361947,8546,2684426,47,Thursday
San Diego,2021-11-19,22633,5136398,8238,2851366,10438,2052204,537,189901,6181,327276,4223,2366170,9020,2693446,47,Friday
San Diego,2021-11-20,12678,5149076,5104,2856470,4536,2056740,454,190355,4383,330787,2636,2368806,6147,2699593,47,Saturday
San Diego,2021-11-21,6119,5155195,2594,2859064,2378,2059118,229,190584,2055,332492,1289,2370095,2994,2702587,47,Sunday
San Diego,2021-11-22,19459,5174654,7873,2866937,8710,2067828,452,191036,4887,336027,3977,2374072,7512,2710099,48,Monday
San Diego,2021-11-23,21699,5196353,9231,2876168,9116,2076944,529,191565,5628,340004,4535,2378607,8512,2718611,48,Tuesday
San Diego,2021-11-24,19448,5215801,8086,2884254,8001,2084945,477,192042,5603,344228,4005,2382612,8229,2726840,48,Wednesday
San Diego,2021-11-25,551,5216352,265,2884519,190,2085135,48,192090,171,344337,162,2382774,271,2727111,48,Thursday
San Diego,2021-11-26,12613,5228965,5717,2890236,4347,2089482,281,192371,4108,347111,2545,2385319,5319,2732430,48,Friday
San Diego,2021-11-27,9813,5238778,3674,2893910,3512,2092994,355,192726,2685,348050,2713,2388032,3652,2736082,48,Saturday
San Diego,2021-11-28,5668,5244446,2235,2896145,1973,2094967,221,192947,1534,348388,1846,2389878,2184,2738266,48,Sunday
San Diego,2021-11-29,18488,5262934,7443,2903588,7618,2102585,474,193421,3505,348475,5483,2395361,5570,2743836,49,Monday
San Diego,2021-11-30,22062,5284996,8817,2912405,8543,2111128,681,194102,4465,348799,6716,2402077,7040,2750876,49,Tuesday
San Diego,2021-12-01,24712,5309708,9243,2921648,10041,2121169,641,194743,5199,349661,7094,2409171,7956,2758832,49,Wednesday
San Diego,2021-12-02,25155,5334863,9843,2931491,10167,2131336,549,195292,5229,350649,6950,2416121,7938,2766770,49,Thursday
San Diego,2021-12-03,25833,5360696,9633,2941124,10677,2142013,547,195839,5330,351200,7573,2423694,8124,2774894,49,Friday
San Diego,2021-12-04,14156,5374852,5280,2946404,4527,2146540,313,196152,3708,351427,4932,2428626,5159,2780053,49,Saturday
San Diego,2021-12-05,6850,5381702,2801,2949205,2278,2148818,222,196374,1870,351700,2349,2430975,2622,2782675,49,Sunday
San Diego,2021-12-06,21391,5403093,9248,2958453,8297,2157115,479,196853,4403,352281,5985,2436960,6566,2789241,50,Monday
San Diego,2021-12-07,22866,5425959,9882,2968335,8772,2165887,469,197322,4931,353422,6051,2443011,7192,2796433,50,Tuesday
San Diego,2021-12-08,24546,5450505,10269,2978604,9600,2175487,544,197866,5487,354801,6711,2449722,8090,2804523,50,Wednesday
San Diego,2021-12-09,22893,5473398,9891,2988495,8544,2184031,507,198373,4846,355816,6227,2455949,7242,2811765,50,Thursday
San Diego,2021-12-10,23494,5496892,9291,2997786,8973,2193004,392,198765,4781,356148,6736,2462685,7068,2818833,50,Friday
San Diego,2021-12-11,13567,5510459,5304,3003090,4407,2197411,315,199080,3401,356533,4501,2467186,4886,2823719,50,Saturday
San Diego,2021-12-12,5726,5516185,2552,3005642,1945,2199356,149,199229,1617,356994,1831,2469017,2292,2826011,50,Sunday
San Diego,2021-12-13,19672,5535857,9071,3014713,7488,2206844,364,199593,3953,357949,4948,2473965,5903,2831914,51,Monday
San Diego,2021-12-14,20482,5556339,9588,3024301,7435,2214279,467,200060,4261,359125,5356,2479321,6532,2838446,51,Tuesday
San Diego,2021-12-15,22917,5579256,10114,3034415,8819,2223098,459,200519,4850,360483,5980,2485301,7338,2845784,51,Wednesday
San Diego,2021-12-16,22689,5601945,10816,3045231,8801,2231899,457,200976,5034,363454,4608,2489909,7579,2853363,51,Thursday
San Diego,2021-12-17,23339,5625284,10428,3055659,9406,2241305,323,201299,4977,365434,5385,2495294,7365,2860728,51,Friday
San Diego,2021-12-18,12877,5638161,5757,3061416,4478,2245783,161,201460,3301,366646,3531,2498825,4743,2865471,51,Saturday
San Diego,2021-12-19,6485,5644646,3287,3064703,2352,2248135,72,201532,1833,367606,1632,2500457,2592,2868063,51,Sunday
San Diego,2021-12-20,21541,5666187,10390,3075093,8413,2256548,257,201789,4692,369849,4761,2505218,7004,2875067,52,Monday
San Diego,2021-12-21,24295,5690482,12050,3087143,8991,2265539,274,202063,5353,372363,5391,2510609,7905,2882972,52,Tuesday
San Diego,2021-12-22,24633,5715115,11426,3098569,9596,2275135,303,202366,5301,374568,5812,2516421,8017,2890989,52,Wednesday
San Diego,2021-12-23,21130,5736245,10178,3108747,8017,2283152,248,202614,4642,376607,4820,2521241,6859,2897848,52,Thursday
San Diego,2021-12-24,4070,5740315,2182,3110929,1467,2284619,72,202686,973,377143,919,2522160,1455,2899303,52,Friday
San Diego,2021-12-25,107,5740422,51,3110980,8,2284627,0,202686,62,377178,29,2522189,64,2899367,52,Saturday
San Diego,2021-12-26,5311,5745733,2488,3113468,1905,2286532,86,202772,1671,378030,1358,2523547,2210,2901577,52,Sunday
San Diego,2021-12-27,18839,5764572,9266,3122734,7171,2293703,233,203005,4429,380081,4199,2527746,6250,2907827,53,Monday
San Diego,2021-12-28,21477,5786049,10891,3133625,7403,2301106,200,203205,5198,382404,5038,2532784,7361,2915188,53,Tuesday
San Diego,2021-12-29,22212,5808261,10298,3143923,8774,2309880,276,203481,5162,384839,5164,2537948,7599,2922787,53,Wednesday
San Diego,2021-12-30,20239,5828500,9775,3153698,7627,2317507,265,203746,4888,387418,4449,2542397,7028,2929815,53,Thursday
San Diego,2021-12-31,6474,5834974,3018,3156716,2674,2320181,90,203836,1584,388271,1425,2543822,2278,2932093,53,Friday
